experiment_id,experiment,activity_id,tier,min_number_yrs_per_sim,start_year,end_year
1pctCO2,1 percent per year increase in CO2,['CMIP'],1,150,,
1pctCO2-4xext,extension from year 140 of 1pctCO2 with 4xCO2,['ISMIP6'],1,210,,
1pctCO2-bgc,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment,['C4MIP'],1,150,,
1pctCO2-cdr,1 percent per year decrease in CO2 from 4xCO2,['CDRMIP'],1,200,,
1pctCO2-rad,radiatively-coupled version of 1 percent per year increasing CO2 experiment,['C4MIP'],2,150,,
1pctCO2Ndep,1 percent per year increasing CO2 experiment with increasing N-deposition,['C4MIP'],2,150,,
1pctCO2Ndep-bgc,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment with increasing N-deposition,['C4MIP'],2,150,,
1pctCO2to4x-withism,simulation with interactive ice sheet forced by 1 percent per year increase in CO2 to 4xCO2 (subsequently held fixed),['ISMIP6'],1,350,,
G1,abrupt quadrupling of CO2 plus reduction in total solar irradiance,['GeoMIP'],1,100,,
G6SST1,"SSTs, forcings, and other prescribed conditions from year 2020 of SSP5-8.5",['GeoMIP'],2,10,,
G6SST2-solar,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6solar,['GeoMIP'],2,10,,
G6SST2-sulfur,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G6sulfur,['GeoMIP'],2,10,,
G6solar,total solar irradiance reduction to reduce net forcing from SSP585 to SSP245,['GeoMIP'],1,81,2020,2100
G6sulfur,stratospheric sulfate aerosol injection to reduce net forcing from SSP585 to SSP245,['GeoMIP'],1,81,2020,2100
G7SST1-cirrus,SSTs from year 2020 of SSP5-8.5; forcings and other prescribed conditions from year 2020 of SSP5-8.5 and cirrus thinning,['GeoMIP'],2,10,,
G7SST2-cirrus,SSTs from year 2100 of SSP5-8.5; forcings and other prescribed conditions from year 2100 of G7cirrus,['GeoMIP'],2,10,,
G7cirrus,increase cirrus ice crystal fall speed to reduce net forcing in SSP585 by 1 W m-2,['GeoMIP'],2,81,2020,2100
a4SST,as piSST but with SSTs from abrupt-4xCO2,['CFMIP'],2,30,,
a4SSTice,as piSST but with SSTs and sea ice from abrupt-4xCO2,['CFMIP'],2,30,,
a4SSTice-4xCO2,"as piSST but with SSTs and sea ice from abrupt-4xCO2, and 4xCO2 seen by radiation and vegetation",['CFMIP'],2,30,,
abrupt-0p5xCO2,abrupt halving of CO2,['CFMIP'],2,150,,
abrupt-2xCO2,abrupt doubling of CO2,['CFMIP'],2,150,,
abrupt-4xCO2,abrupt quadrupling of CO2,['CMIP'],1,150,,
abrupt-solm4p,abrupt 4% decrease in solar constant,['CFMIP'],2,150,,
abrupt-solp4p,abrupt 4% increase in solar constant,['CFMIP'],2,150,,
amip,AMIP,['CMIP'],1,36,1979,2014
amip-4xCO2,AMIP SSTs with 4xCO2,['CFMIP'],1,36,1979,2014
amip-TIP,"same as ""amip"" run, but surface elevations of the Tibetan-Iranian Plateau and Himalayas reduced to 500m",['GMMIP'],3,36,1979,2014
amip-TIP-nosh,"same as ""amip"" run, but sensible heat not allowed for elevations of the Tibetan-Iranian Plateau and Himalayas above 500m",['GMMIP'],3,36,1979,2014
amip-a4SST-4xCO2,as AMIP but with warming pattern from abrupt-4xCO2 added to SSTs and 4xCO2 seen by radiation and vegetation,['CFMIP'],2,36,1979,2014
amip-climSIC,AMIP with climatological SIC,['PAMIP'],3,36,1979,2014
amip-climSST,AMIP with climatological SST,['PAMIP'],3,36,1979,2014
amip-future4K,AMIP with patterned 4K SST increase,['CFMIP'],1,36,1979,2014
amip-hist,AMIP-style simulation covering the period 1870-2014,['GMMIP'],1,145,1870,2014
amip-hld,"same as ""amip"" run, but surface elevations of the East African Highlands in Africa, Sierra Madre in N. America and Andes in S. America reduced to 500m",['GMMIP'],3,36,1979,2014
amip-lfmip-pObs,prescribed land (from pseudo-observations) and AMIP SSTs,['LS3MIP'],2,36,1979,2014
amip-lfmip-pdLC,"prescribed modern land surface climatology from historical, prescribed SST and sea-ice from historical plus scenario runs",['LS3MIP'],2,36,1979,2014
amip-lfmip-rmLC,"prescribed land surface climatology from historical plus scenario 30yr running mean, prescribed SST and sea-ice from historical plus scenario runs",['LS3MIP'],2,36,1979,2014
amip-lwoff,AMIP experiment with longwave cloud-radiative effects off,['CFMIP'],2,36,1979,2014
amip-m4K,AMIP with uniform 4K SST decrease,['CFMIP'],2,36,1979,2014
amip-p4K,AMIP with uniform 4K SST increase,['CFMIP'],1,36,1979,2014
amip-p4K-lwoff,AMIP experiment with uniform 4K SST increase and with longwave cloud radiative effects off,['CFMIP'],2,36,1979,2014
amip-piForcing,AMIP SSTs with pre-industrial anthropogenic and natural forcing,['CFMIP'],2,145,1870,2014
aqua-4xCO2,aquaplanet with control SST and 4xCO2,['CFMIP'],1,10,,
aqua-control,aquaplanet control,['CFMIP'],1,10,,
aqua-control-lwoff,aquaplanet control with longwave cloud radiative effects off,['CFMIP'],2,10,,
aqua-p4K,aquaplanet with uniform 4K SST increase,['CFMIP'],1,10,,
aqua-p4K-lwoff,aquaplanet with uniform 4K SST increase and with longwave cloud radiative effects off,['CFMIP'],2,10,,
control-1950,coupled control with fixed 1950's forcing (HighResMIP equivalent of pre-industrial control),['HighResMIP'],2,100,,
control-slab,control with slab ocean,['VolMIP'],3,30,,
dcppA-assim,"Assimilation run paralleling the historical simulation, which may be used to generate hindcast initial conditions",['DCPP'],2,56,before 1961,2016
dcppA-hindcast,hindcast initialized based on observations and using historical forcing,['DCPP'],1,5,a year in the range 1960-2019,5 - 10 years after start year
dcppA-hindcast-niff,hindcast initialized based on observations but without using knowledge of subsequent historical forcing,['DCPP'],4,5,a year in the range 1960-2019,5 - 10 years after start year
dcppA-historical-niff,hindcast initialized from historical climate simulation but without using knowledge of subsequent historical forcing,['DCPP'],4,5,a year in the range 1960-2019,5 - 10 years after start year
dcppB-forecast,forecast initialized from observations with forcing from ssp245,['DCPP'],1,5,a year in the range 2017-2029,5 years after start year
dcppC-amv-ExTrop-neg,Idealized climate impact of negative extratropical AMV anomaly pattern,['DCPP'],2,10,,
dcppC-amv-ExTrop-pos,Idealized climate impact of positive extratropical AMV anomaly pattern,['DCPP'],2,10,,
dcppC-amv-Trop-neg,Idealized climate impact of negative tropical AMV anomaly pattern,['DCPP'],2,10,,
dcppC-amv-Trop-pos,idealized positive tropical AMV anomaly pattern,['DCPP'],2,10,,
dcppC-amv-neg,Idealized climate impact of negative AMV anomaly pattern,['DCPP'],1,10,,
dcppC-amv-pos,Idealized climate impact of positive AMV anomaly pattern,['DCPP'],1,10,,
dcppC-atl-control,Idealized Atlantic control,['DCPP'],1,10,,
dcppC-atl-pacemaker,pacemaker Atlantic experiment,['DCPP'],3,65,"1910, 1920 or 1950",2014
dcppC-atl-spg,predictability of 1990s warming of Atlantic sub-polar gyre,['DCPP'],3,5,A year in the range 1992-1999,5 - 10 years after start year
dcppC-forecast-addAgung,2015 forecast with added Agung forcing,['DCPP'],3,5,2014,5 - 10 years after start year
dcppC-forecast-addElChichon,2015 forecast with added El Chichon forcing,['DCPP'],3,5,2014,5 - 10 years after start year
dcppC-forecast-addPinatubo,2015 forecast with added Pinatubo forcing,"['DCPP', 'VolMIP']",1,5,2014,5 - 10 years after start year
dcppC-hindcast-noAgung,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,['DCPP'],2,5,1962,5 - 10 years after start year
dcppC-hindcast-noElChichon,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,['DCPP'],2,5,1981,5 - 10 years after start year
dcppC-hindcast-noPinatubo,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,['DCPP'],1,5,1990,5 - 10 years after start year
dcppC-ipv-NexTrop-neg,idealized negative northern extratropical IPV anomaly pattern,['DCPP'],2,10,,
dcppC-ipv-NexTrop-pos,idealized positive northern extratropical IPV anomaly pattern,['DCPP'],2,10,,
dcppC-ipv-neg,idealized negative IPV anomaly pattern,['DCPP'],1,10,,
dcppC-ipv-pos,idealized positive IPV anomaly pattern,['DCPP'],1,10,,
dcppC-pac-control,idealized Pacific control,['DCPP'],1,10,,
dcppC-pac-pacemaker,pacemaker Pacific experiment,['DCPP'],3,65,"1910, 1920 or 1950",2014
deforest-globe,idealized transient global deforestation,['LUMIP'],1,81,,
esm-1pct-brch-1000PgC,zero emissions simulation branched from 1% run after 1000 PgC cumulative emission,"['C4MIP', 'CDRMIP']",2,100,,
esm-1pct-brch-2000PgC,zero emissions simulation branched from 1% run after 2000 PgC cumulative emission,"['C4MIP', 'CDRMIP']",3,100,,
esm-1pct-brch-750PgC,zero emissions simulation branched from 1% run after 750 PgC cumulative emission,"['C4MIP', 'CDRMIP']",3,100,,
esm-1pctCO2,emissions driven 1% run,"['C4MIP', 'CDRMIP']",3,150,,
esm-bell-1000PgC,emissions driven 1000PgC bell-curve,"['C4MIP', 'CDRMIP']",3,200,,
esm-bell-2000PgC,emissions driven 2000PgC bell-curve,"['C4MIP', 'CDRMIP']",3,200,,
esm-bell-750PgC,emissions driven 750PgC bell-curve,"['C4MIP', 'CDRMIP']",3,200,,
esm-hist,all-forcing simulation of the recent past with atmospheric CO2 concentration calculated,['CMIP'],1,165,1850,2014
esm-hist-ext,post-2014 all-forcing simulation with atmospheric CO2 concentration calculated,['CMIP'],2,1,2015,present
esm-past1000,last millennium experiment with interactive carbon cycle,['PMIP'],3,1000,850,1849
esm-pi-CO2pulse,pulse addition of 100 Gt carbon to pre-industrial atmosphere,['CDRMIP'],1,100,,
esm-pi-cdr-pulse,pulse removal of 100 Gt carbon from pre-industrial atmosphere,['CDRMIP'],1,100,,
esm-piControl,pre-industrial control simulation with CO2 concentration calculated,['CMIP'],1,500,,
esm-piControl-spinup,pre-industrial control simulation with CO2 concentration calculated (spin-up),['CMIP'],2,100,,
esm-ssp534-over,emission-driven SSP5-3.4-OS scenario,['CDRMIP'],2,61,2040,2100 or 2300
esm-ssp585,emission-driven RCP8.5 based on SSP5,['C4MIP'],1,86,2015,2100
esm-ssp585-ocn-alk,emission-driven SSP5-8.5 scenario but with ocean alkalinization from year 2020 onward,['CDRMIP'],2,81,2020,2100 or 2300
esm-ssp585-ocn-alk-stop,emission-driven SSP5-8.5 scenario with alkalinization terminated in year 2070,['CDRMIP'],3,31,2070,2100
esm-ssp585-ssp126Lu,emissions-driven SSP5-8.5 with SSP1-2.6 land use,['LUMIP'],1,86,2015,2100
esm-ssp585-ssp126Lu-ext,extension of the LUMIP emissions-driven simulation following SSP5-8.5 with SSP1-2.6 land use,['CDRMIP'],2,200,2101,2300
esm-ssp585ext,emission-driven long-term extension of the SSP5-8.5 scenario,['CDRMIP'],2,200,2101,2300
esm-yr2010CO2-CO2pulse,instantaneous 100 Gt C addition to an industrial era atmosphere,['CDRMIP'],3,101,2015,2115
esm-yr2010CO2-cdr-pulse,instantaneous 100 Gt C removal from industrial era atmosphere,['CDRMIP'],3,101,2015,2115
esm-yr2010CO2-control,historical emissions followed by fixed 2010 emissions (both model-diagnosed),['CDRMIP'],3,266,1850,2115
esm-yr2010CO2-noemit,branches from esm-yr2010CO2-control with zero emissions,['CDRMIP'],3,101,2015,2115
faf-all,"control plus perturbative surface fluxes of momentum, heat and water into ocean",['FAFMIP'],2,70,,
faf-antwater-stress,"control plus perturbative surface fluxes of momentum and freshwater into ocean, the latter around the coast of Antarctica only",['FAFMIP'],2,70,,
faf-heat,control plus perturbative surface flux of heat into ocean,['FAFMIP'],1,70,,
faf-heat-NA0pct,control plus perturbative surface flux of heat into ocean,['FAFMIP'],2,70,,
faf-heat-NA50pct,control plus perturbative surface flux of heat into ocean,['FAFMIP'],1,70,,
faf-passiveheat,control plus surface flux of passive heat tracer into ocean,['FAFMIP'],2,70,,
faf-stress,control plus perturbative surface flux of momentum into ocean,['FAFMIP'],1,70,,
faf-water,control plus perturbative surface flux of water into ocean,['FAFMIP'],1,70,,
futSST-pdSIC,Atmosphere time slice with future SST and present day SIC,['PAMIP'],2,1,2000,2001
futureSST-4xCO2-solar,year 100 SSTs from abrupt-4xCO2 with quadrupled CO2 and solar reduction,['GeoMIP'],2,10,,
highres-future,coupled future 2015-2050 using a scenario as close to CMIP5 RCP8.5 as possible within CMIP6,['HighResMIP'],2,36,2015,2050
highresSST-4xCO2,highresSST-present SST with 4xCO2 concentrations,['HighResMIP'],3,36,1979,2014
highresSST-LAI,common LAI dataset within the highresSST-present experiment,['HighResMIP'],3,36,1979,2014
highresSST-future,forced atmosphere experiment for 2015-2050 using SST/sea-ice derived from CMIP5 RCP8.5 simulations and a scenario as close to RCP8.5 as possible within CMIP6,['HighResMIP'],3,36,2015,2050
highresSST-p4K,uniform 4K warming of highresSST-present SST,['HighResMIP'],3,36,1979,2014
highresSST-present,forced atmosphere experiment for 1950-2014,['HighResMIP'],1,65,1950,2014
highresSST-smoothed,smoothed SST version of highresSST-present,['HighResMIP'],3,36,1979,2014
hist-1950,coupled historical 1950-2014,['HighResMIP'],2,65,1950,2014
hist-1950HC,"historical forcing, but with1950s halocarbon concentrations; initialized in 1950",['AerChemMIP'],1,65,1950,2014
hist-CO2,historical CO2-only run,['DAMIP'],3,171,1850,2020
hist-GHG,historical well-mixed GHG-only run,['DAMIP'],1,171,1850,2020
hist-GHG-cmip5,historical well-mixed GHG-only run (CMIP5-era historical [1850-2005] and RCP4.5 [2006-2020] forcing),['DAMIP'],3,171,1850,2020
hist-aer,historical anthropogenic aerosols-only run,['DAMIP'],1,171,1850,2020
hist-aer-cmip5,historical anthropogenic aerosols-only run (CMIP5-era historical [1850-2005] and RCP4.5 [2006-2020] forcing),['DAMIP'],3,171,1850,2020
hist-all-aer2,historical ALL-forcing run with alternate estimates of aerosol forcing,['DAMIP'],3,171,1850,2020
hist-all-nat2,historical ALL-forcing run with alternate estimates of natural forcing,['DAMIP'],3,171,1850,2020
hist-bgc,biogeochemically-coupled version of the simulation of the recent past with CO2 concentration prescribed,['C4MIP'],2,165,1850,2014
hist-nat,historical natural-only run,['DAMIP'],1,171,1850,2020
hist-nat-cmip5,historical natural-only run (CMIP5-era historical [1850-2005] and RCP4.5 [2006-2020] forcing),['DAMIP'],3,171,1850,2020
hist-noLu,historical with no land-use change,['LUMIP'],1,165,1850,2014
hist-piAer,"historical forcing, but with pre-industrial aerosol emissions",['AerChemMIP'],2,165,1850,2014
hist-piNTCF,"historical forcing, but with pre-industrial NTCF emissions",['AerChemMIP'],1,165,1850,2014
hist-resAMO,"initialized from ""historical"" run year 1870 and SSTs in the AMO domain (0deg-70degN, 70degW-0deg) restored to AMIP SSTs with historical forcings",['GMMIP'],2,145,1870,2014
hist-resIPO,"initialized from ""historical"" run year 1870 and SSTs in tropical lobe of the IPO domain (20degS-20degN, 175degE-75degW) restored to AMIP SSTs with historical forcings",['GMMIP'],2,145,1870,2014
hist-sol,historical solar-only run,['DAMIP'],3,171,1850,2020
hist-spAer-aer,"historical simulation with specified anthropogenic aerosols, no other forcings",['RFMIP'],2,165,1850,2014
hist-spAer-all,historical simulation with specified anthropogenic aerosols,['RFMIP'],1,165,1850,2014
hist-stratO3,historical stratospheric ozone-only run,['DAMIP'],2,171,1850,2020
hist-totalO3,historical total ozone-only run,['DAMIP'],3,171,1850,2020
hist-volc,historical volcanic-only run,['DAMIP'],3,171,1850,2020
histSST,historical prescribed SSTs and historical forcing,['AerChemMIP'],1,165,1850,2014
histSST-1950HC,"historical SSTs and historical forcing, but with 1950 halocarbon concentrations. Experiment is initialized from histSST (AerChemMIP) simulation from January 1950",['AerChemMIP'],1,65,1950,2014
histSST-noLu,"historical SSTs and historical forcing, but with pre-industrial LULCC",['AerChemMIP'],1,165,1850,2014
histSST-piAer,"historical SSTs and historical forcing, but with pre-industrial aerosol emissions",['AerChemMIP'],2,165,1850,2014
histSST-piCH4,"historical SSTs and historical forcing, but with pre-industrial methane concentrations",['AerChemMIP'],1,165,1850,2014
histSST-piN2O,"historical SSTs and historical forcings, but with pre-industrial N2O concentrations",['AerChemMIP'],2,165,1850,2014
histSST-piNTCF,"historical SSTs and historical forcing, but with pre-industrial NTCF emissions",['AerChemMIP'],1,165,1850,2014
histSST-piO3,"historical SSTs and historical forcing, but with pre-industrial ozone precursor emissions",['AerChemMIP'],2,165,1850,2014
historical,all-forcing simulation of the recent past,['CMIP'],1,165,1850,2014
historical-cmip5,all-forcing simulation of the recent past (CMIP5-era [1850-2005] forcing),['CMIP'],2,156,1850,2005
historical-ext,post-2014 all-forcing simulation,['CMIP'],2,1,2015,present
historical-withism,historical with interactive ice sheet,['ISMIP6'],2,165,1850,2014
ism-1pctCO2to4x-self,offline ice sheet model forced by ISM's own AOGCM 1pctCO2to4x output,['ISMIP6'],1,350,,
ism-1pctCO2to4x-std,offline ice sheet model forced by ISMIP6-specified AOGCM 1pctCO2to4x output,['ISMIP6'],1,350,,
ism-amip-std,offline ice sheet forced by ISMIP6-specified AGCM AMIP output,['ISMIP6'],3,36,1979,2014
